text,label
I hate this community,1
They should be removed from society,1
This group is disgusting,1
People like them are not welcome here,1
I cannot tolerate these people,1
They are ruining everything,1
This community should be banned,1
I strongly dislike their existence,1
These people are awful,1
They do not deserve respect,1
Have a wonderful day,0
You are doing great work,0
I appreciate your kindness,0
This is a peaceful message,0
Everyone deserves respect,0
Let us spread positivity,0
I enjoy helping people,0
You are amazing,0
Stay happy and safe,0
We should support each other,0
Good morning everyone,0
Keep learning and growing,0
This is a beautiful day,0
Thank you for your support,0
Wishing you success,0
